Wk,Day,Date,Time,Home,xHomeGoals,HomeScore,AwayScore,xAwayGoals,Away,Attendance,Venue,Referee,Match Report,Notes
26,Mon,2020-05-18,20:30 (14:30),Werder Bremen,1.2,1,4,1.7,Leverkusen,,Weserstadion,Tobias Stieler,Match Report,
27,Sun,2020-05-24,,Wolfsburg,,,,,Dortmund,,Volkswagen Arena,,,
27,Sun,2020-05-24,,Schalke 04,,,,,Augsburg,,Veltins-Arena,,,
27,Sun,2020-05-24,,Bayern Munich,,,,,Eint Frankfurt,,Allianz Arena,,,
27,Sun,2020-05-24,,M'gladbach,,,,,Leverkusen,,Stadion im Borussia-Park,,,
27,Sun,2020-05-24,,Hertha BSC,,,,,Union Berlin,,Olympiastadion Berlin,,,
27,Sun,2020-05-24,,Köln,,,,,Düsseldorf,,RheinEnergieSTADION,,,
27,Sun,2020-05-24,,Freiburg,,,,,Werder Bremen,,Schwarzwald-Stadion,,,
27,Sun,2020-05-24,,Paderborn 07,,,,,Hoffenheim,,Benteler-Arena,,,
27,Sun,2020-05-24,,Mainz 05,,,,,RB Leipzig,,Opel Arena,,,
28,Wed,2020-05-27,,Eint Frankfurt,,,,,Freiburg,,Commerzbank-Arena,,,
28,Wed,2020-05-27,,Union Berlin,,,,,Mainz 05,,Stadion An der Alten Försterei,,,
28,Wed,2020-05-27,,Hoffenheim,,,,,Köln,,PreZero Arena,,,
28,Wed,2020-05-27,,Leverkusen,,,,,Wolfsburg,,BayArena,,,
28,Wed,2020-05-27,,Augsburg,,,,,Paderborn 07,,WWK Arena,,,
28,Wed,2020-05-27,,RB Leipzig,,,,,Hertha BSC,,Red Bull Arena,,,
28,Wed,2020-05-27,,Werder Bremen,,,,,M'gladbach,,Weserstadion,,,
28,Wed,2020-05-27,,Dortmund,,,,,Bayern Munich,,Signal Iduna Park,,,
28,Wed,2020-05-27,,Düsseldorf,,,,,Schalke 04,,Merkur Spielarena,,,
29,Mon,2020-06-01,,Paderborn 07,,,,,Dortmund,,Benteler-Arena,,,
29,Mon,2020-06-01,,Wolfsburg,,,,,Eint Frankfurt,,Volkswagen Arena,,,
29,Mon,2020-06-01,,Freiburg,,,,,Leverkusen,,Schwarzwald-Stadion,,,
29,Mon,2020-06-01,,Hertha BSC,,,,,Augsburg,,Olympiastadion Berlin,,,
29,Mon,2020-06-01,,Bayern Munich,,,,,Düsseldorf,,Allianz Arena,,,
29,Mon,2020-06-01,,M'gladbach,,,,,Union Berlin,,Stadion im Borussia-Park,,,
29,Mon,2020-06-01,,Schalke 04,,,,,Werder Bremen,,Veltins-Arena,,,
29,Mon,2020-06-01,,Köln,,,,,RB Leipzig,,RheinEnergieSTADION,,,
29,Mon,2020-06-01,,Mainz 05,,,,,Hoffenheim,,Opel Arena,,,
30,Mon,2020-06-08,,RB Leipzig,,,,,Paderborn 07,,Red Bull Arena,,,
30,Mon,2020-06-08,,Leverkusen,,,,,Bayern Munich,,BayArena,,,
30,Mon,2020-06-08,,Düsseldorf,,,,,Hoffenheim,,Merkur Spielarena,,,
30,Mon,2020-06-08,,Union Berlin,,,,,Schalke 04,,Stadion An der Alten Försterei,,,
30,Mon,2020-06-08,,Dortmund,,,,,Hertha BSC,,Signal Iduna Park,,,
30,Mon,2020-06-08,,Freiburg,,,,,M'gladbach,,Schwarzwald-Stadion,,,
30,Mon,2020-06-08,,Augsburg,,,,,Köln,,WWK Arena,,,
30,Mon,2020-06-08,,Werder Bremen,,,,,Wolfsburg,,Weserstadion,,,
30,Mon,2020-06-08,,Eint Frankfurt,,,,,Mainz 05,,Commerzbank-Arena,,,
31,Sun,2020-06-14,,Schalke 04,,,,,Leverkusen,,Veltins-Arena,,,
31,Sun,2020-06-14,,Paderborn 07,,,,,Werder Bremen,,Benteler-Arena,,,
31,Sun,2020-06-14,,Köln,,,,,Union Berlin,,RheinEnergieSTADION,,,
31,Sun,2020-06-14,,Mainz 05,,,,,Augsburg,,Opel Arena,,,
31,Sun,2020-06-14,,Wolfsburg,,,,,Freiburg,,Volkswagen Arena,,,
31,Sun,2020-06-14,,Hertha BSC,,,,,Eint Frankfurt,,Olympiastadion Berlin,,,
31,Sun,2020-06-14,,Hoffenheim,,,,,RB Leipzig,,PreZero Arena,,,
31,Sun,2020-06-14,,Düsseldorf,,,,,Dortmund,,Merkur Spielarena,,,
31,Sun,2020-06-14,,Bayern Munich,,,,,M'gladbach,,Allianz Arena,,,
32,Wed,2020-06-17,,Eint Frankfurt,,,,,Schalke 04,,Commerzbank-Arena,,,
32,Wed,2020-06-17,,Union Berlin,,,,,Paderborn 07,,Stadion An der Alten Försterei,,,
32,Wed,2020-06-17,,Freiburg,,,,,Hertha BSC,,Schwarzwald-Stadion,,,
32,Wed,2020-06-17,,M'gladbach,,,,,Wolfsburg,,Stadion im Borussia-Park,,,
32,Wed,2020-06-17,,Augsburg,,,,,Hoffenheim,,WWK Arena,,,
32,Wed,2020-06-17,,RB Leipzig,,,,,Düsseldorf,,Red Bull Arena,,,
32,Wed,2020-06-17,,Leverkusen,,,,,Köln,,BayArena,,,
32,Wed,2020-06-17,,Dortmund,,,,,Mainz 05,,Signal Iduna Park,,,
32,Wed,2020-06-17,,Werder Bremen,,,,,Bayern Munich,,Weserstadion,,,
33,Sat,2020-06-20,15:30 (09:30),RB Leipzig,,,,,Dortmund,,Red Bull Arena,,,
33,Sat,2020-06-20,15:30 (09:30),Hoffenheim,,,,,Union Berlin,,PreZero Arena,,,
33,Sat,2020-06-20,15:30 (09:30),Hertha BSC,,,,,Leverkusen,,Olympiastadion Berlin,,,
33,Sat,2020-06-20,15:30 (09:30),Schalke 04,,,,,Wolfsburg,,Veltins-Arena,,,
33,Sat,2020-06-20,15:30 (09:30),Paderborn 07,,,,,M'gladbach,,Benteler-Arena,,,
33,Sat,2020-06-20,15:30 (09:30),Mainz 05,,,,,Werder Bremen,,Opel Arena,,,
33,Sat,2020-06-20,15:30 (09:30),Düsseldorf,,,,,Augsburg,,Merkur Spielarena,,,
33,Sat,2020-06-20,15:30 (09:30),Bayern Munich,,,,,Freiburg,,Allianz Arena,,,
33,Sat,2020-06-20,15:30 (09:30),Köln,,,,,Eint Frankfurt,,RheinEnergieSTADION,,,
34,Sat,2020-06-27,15:30 (09:30),Leverkusen,,,,,Mainz 05,,BayArena,,,
34,Sat,2020-06-27,15:30 (09:30),M'gladbach,,,,,Hertha BSC,,Stadion im Borussia-Park,,,
34,Sat,2020-06-27,15:30 (09:30),Eint Frankfurt,,,,,Paderborn 07,,Commerzbank-Arena,,,
34,Sat,2020-06-27,15:30 (09:30),Augsburg,,,,,RB Leipzig,,WWK Arena,,,
34,Sat,2020-06-27,15:30 (09:30),Freiburg,,,,,Schalke 04,,Schwarzwald-Stadion,,,
34,Sat,2020-06-27,15:30 (09:30),Dortmund,,,,,Hoffenheim,,Signal Iduna Park,,,
34,Sat,2020-06-27,15:30 (09:30),Union Berlin,,,,,Düsseldorf,,Stadion An der Alten Försterei,,,
34,Sat,2020-06-27,15:30 (09:30),Werder Bremen,,,,,Köln,,Weserstadion,,,
34,Sat,2020-06-27,15:30 (09:30),Wolfsburg,,,,,Bayern Munich,,Volkswagen Arena,,,
