wk,home_score,away_score,home_expected_goals,away_expected_goals,away_id,away_shots,away_shots_on_target,away_touches,away_pass_pct,away_assists,home_id,home_shots,home_shots_on_target,home_touches,home_pass_pct,home_assists,home_team,away_team
15,1,1,1.0,1.4,7a41008f,16,2,518,66.0,0,d9f93f02,13,3,651,76.3,1,Paderborn 07,Union Berlin
15,2,0,1.6,0.2,c7a9f859,6,2,772,84.2,0,bc357bf7,13,5,539,76.7,2,Köln,Leverkusen
15,6,1,5.0,0.5,62add3bf,10,3,435,71.8,1,054efa67,28,14,898,87.5,6,Bayern Munich,Werder Bremen
15,0,4,0.2,1.3,add600ae,18,7,822,85.4,3,a224b06a,9,0,555,75.4,0,Mainz 05,Dortmund
15,0,3,0.2,3.4,acbb6a5b,21,6,838,90.1,2,b1278397,4,1,424,76.7,0,Düsseldorf,RB Leipzig
15,2,1,1.2,0.4,32f3ee20,6,6,618,78.4,1,4eaa11d7,17,7,598,78.4,1,Wolfsburg,M'gladbach
15,1,0,1.1,0.8,f0ac8ee6,17,3,553,75.3,0,c539e393,11,5,561,79.0,1,Schalke 04,Eint Frankfurt
16,0,5,1.0,2.9,a224b06a,17,8,509,75.7,4,62add3bf,14,5,690,81.6,0,Werder Bremen,Mainz 05
16,3,3,1.2,2.6,acbb6a5b,12,8,703,77.7,0,add600ae,14,6,849,84.3,3,Dortmund,RB Leipzig
16,0,2,1.4,0.8,033ea6b8,7,4,577,71.7,1,7a41008f,16,2,540,66.9,0,Union Berlin,Hoffenheim
16,3,0,1.3,0.5,b1278397,6,2,547,72.7,0,0cdc4311,12,7,495,68.4,1,Augsburg,Düsseldorf
16,0,1,1.0,1.4,2818f8bc,10,5,439,68.8,0,c7a9f859,16,7,844,84.2,0,Leverkusen,Hertha BSC
16,2,4,1.3,2.5,bc357bf7,21,9,625,73.2,4,f0ac8ee6,17,6,524,65.1,2,Eint Frankfurt,Köln
16,1,3,1.6,3.4,054efa67,22,9,797,82.6,2,a486e511,15,5,522,68.1,1,Freiburg,Bayern Munich
16,2,0,2.8,0.6,d9f93f02,12,2,560,77.7,0,32f3ee20,16,5,739,82.4,1,M'gladbach,Paderborn 07
16,1,1,2.4,1.2,c539e393,8,3,538,73.1,0,4eaa11d7,29,9,615,76.1,0,Wolfsburg,Schalke 04
17,2,1,1.3,1.4,add600ae,12,5,725,84.8,1,033ea6b8,11,3,699,82.3,1,Hoffenheim,Dortmund
17,1,0,1.1,0.2,62add3bf,6,1,567,76.4,0,bc357bf7,7,1,662,77.5,1,Köln,Werder Bremen
17,3,1,3.3,0.4,0cdc4311,7,2,374,59.7,1,acbb6a5b,21,6,792,84.0,2,RB Leipzig,Augsburg
17,2,2,1.7,2.8,a486e511,17,5,479,77.0,0,c539e393,20,6,619,80.5,0,Schalke 04,Freiburg
17,0,1,1.9,1.5,c7a9f859,15,4,697,79.3,1,a224b06a,18,1,527,67.4,0,Mainz 05,Leverkusen
17,2,0,1.3,0.9,4eaa11d7,10,3,434,65.7,0,054efa67,18,8,761,81.8,2,Bayern Munich,Wolfsburg
17,0,0,0.6,0.9,32f3ee20,11,5,658,82.7,0,2818f8bc,7,0,503,73.7,0,Hertha BSC,M'gladbach
17,2,1,1.1,2.0,7a41008f,17,5,635,79.0,0,b1278397,22,8,614,74.9,1,Düsseldorf,Union Berlin
17,2,1,3.0,2.1,f0ac8ee6,20,5,559,71.7,1,d9f93f02,19,6,590,74.0,2,Paderborn 07,Eint Frankfurt
18,2,0,1.7,0.9,32f3ee20,14,4,612,78.2,0,c539e393,15,7,543,72.9,2,Schalke 04,M'gladbach
18,1,2,1.0,1.5,f0ac8ee6,12,3,499,72.4,2,033ea6b8,13,4,780,82.6,0,Hoffenheim,Eint Frankfurt
18,3,1,1.6,1.8,4eaa11d7,17,8,584,74.1,1,bc357bf7,12,7,536,68.7,3,Köln,Wolfsburg
18,0,1,1.3,0.9,62add3bf,13,4,642,72.7,0,b1278397,19,2,614,71.9,0,Düsseldorf,Werder Bremen
18,3,5,1.7,4.6,add600ae,19,8,930,86.8,5,0cdc4311,13,5,470,69.5,2,Augsburg,Dortmund
18,1,2,2.5,1.6,a486e511,13,3,542,68.3,1,a224b06a,25,8,648,76.5,0,Mainz 05,Freiburg
18,3,1,2.1,1.5,7a41008f,15,5,508,66.7,1,acbb6a5b,19,7,800,83.9,1,RB Leipzig,Union Berlin
18,0,4,0.7,2.3,054efa67,17,9,841,84.9,3,2818f8bc,7,1,488,72.1,0,Hertha BSC,Bayern Munich
18,1,4,1.3,2.2,c7a9f859,12,6,837,85.5,3,d9f93f02,12,7,525,74.9,0,Paderborn 07,Leverkusen
19,5,1,2.6,1.3,bc357bf7,11,5,604,82.2,1,add600ae,14,9,813,87.7,4,Dortmund,Köln
19,2,0,1.1,1.3,acbb6a5b,22,4,746,80.5,0,f0ac8ee6,7,5,443,62.4,1,Eint Frankfurt,RB Leipzig
19,3,1,2.3,0.7,a224b06a,11,8,428,63.7,1,32f3ee20,14,6,801,80.0,2,M'gladbach,Mainz 05
19,0,2,1.5,1.9,d9f93f02,15,2,499,72.1,0,a486e511,19,5,759,82.1,0,Freiburg,Paderborn 07
19,1,2,1.3,1.7,2818f8bc,9,4,581,73.2,2,4eaa11d7,19,7,726,79.3,1,Wolfsburg,Hertha BSC
19,2,0,1.1,1.9,0cdc4311,25,7,627,70.7,0,7a41008f,12,3,533,66.3,1,Union Berlin,Augsburg
19,5,0,3.5,0.5,c539e393,7,1,434,77.5,0,054efa67,24,14,987,89.1,3,Bayern Munich,Schalke 04
19,0,3,0.8,1.0,033ea6b8,9,4,626,77.3,1,62add3bf,16,3,674,76.5,0,Werder Bremen,Hoffenheim
19,3,0,3.7,0.8,b1278397,12,3,438,66.0,0,c7a9f859,25,9,767,84.1,2,Leverkusen,Düsseldorf
20,0,0,0.4,0.7,c539e393,12,3,702,80.1,0,2818f8bc,9,0,526,67.1,0,Hertha BSC,Schalke 04
20,5,0,3.5,0.3,7a41008f,4,0,488,75.3,0,add600ae,12,6,870,89.1,3,Dortmund,Union Berlin
20,1,1,0.3,1.0,f0ac8ee6,6,4,560,74.0,1,b1278397,8,1,624,77.9,0,Düsseldorf,Eint Frankfurt
20,1,3,0.4,1.7,054efa67,13,5,861,85.7,3,a224b06a,8,3,467,68.4,1,Mainz 05,Bayern Munich
20,2,1,1.4,0.5,62add3bf,7,1,539,73.2,0,0cdc4311,14,4,568,75.7,2,Augsburg,Werder Bremen
20,2,1,2.8,2.4,c7a9f859,22,10,731,80.6,1,033ea6b8,14,6,475,67.4,1,Hoffenheim,Leverkusen
20,2,2,1.5,1.1,32f3ee20,7,4,503,73.4,2,acbb6a5b,18,8,771,81.4,0,RB Leipzig,M'gladbach
20,4,0,3.7,0.9,a486e511,9,2,572,76.0,0,bc357bf7,24,9,511,73.2,2,Köln,Freiburg
20,2,4,1.0,1.5,4eaa11d7,9,5,558,71.3,3,d9f93f02,10,7,533,72.2,2,Paderborn 07,Wolfsburg
21,5,0,2.4,0.7,0cdc4311,8,4,538,72.9,0,f0ac8ee6,14,11,705,76.1,5,Eint Frankfurt,Augsburg
21,1,3,0.9,2.3,a224b06a,10,2,467,71.4,2,2818f8bc,14,3,838,86.6,1,Hertha BSC,Mainz 05
21,1,1,1.3,0.8,d9f93f02,15,4,429,65.4,1,c539e393,15,4,716,83.4,1,Schalke 04,Paderborn 07
21,1,1,1.0,0.9,b1278397,10,2,628,77.6,1,4eaa11d7,10,5,583,74.6,1,Wolfsburg,Düsseldorf
21,1,0,1.7,1.5,033ea6b8,20,6,619,78.5,0,a486e511,11,4,635,81.0,0,Freiburg,Hoffenheim
21,0,2,1.3,1.5,7a41008f,11,6,471,69.8,1,62add3bf,14,3,874,84.5,0,Werder Bremen,Union Berlin
21,4,3,1.5,0.8,add600ae,12,6,670,81.4,2,c7a9f859,8,5,687,81.0,3,Leverkusen,Dortmund
21,0,0,1.6,1.2,acbb6a5b,9,0,485,65.2,0,054efa67,11,2,912,83.5,0,Bayern Munich,RB Leipzig
22,4,0,1.3,0.0,f0ac8ee6,1,0,562,76.6,0,add600ae,17,7,883,87.7,3,Dortmund,Eint Frankfurt
22,1,2,0.9,2.0,2818f8bc,17,6,578,72.9,1,d9f93f02,20,4,605,73.3,1,Paderborn 07,Hertha BSC
22,2,3,2.4,2.8,4eaa11d7,12,5,548,77.3,1,033ea6b8,13,5,692,82.2,1,Hoffenheim,Wolfsburg
22,2,3,1.5,1.2,c7a9f859,12,5,703,77.6,3,7a41008f,19,6,505,62.4,2,Union Berlin,Leverkusen
22,3,0,1.4,0.3,62add3bf,8,1,671,82.2,0,acbb6a5b,9,3,724,81.5,3,RB Leipzig,Werder Bremen
22,1,1,0.9,1.2,a486e511,18,5,823,85.4,0,0cdc4311,9,3,395,67.1,1,Augsburg,Freiburg
22,1,4,1.1,2.6,32f3ee20,17,6,538,81.4,4,b1278397,9,4,550,82.8,1,Düsseldorf,M'gladbach
22,1,4,2.5,2.5,054efa67,24,8,751,86.6,4,bc357bf7,13,6,519,77.4,1,Köln,Bayern Munich
22,0,0,1.5,0.9,c539e393,9,3,650,79.9,0,a224b06a,15,5,474,66.8,0,Mainz 05,Schalke 04
23,3,2,3.0,1.4,d9f93f02,5,4,454,66.7,1,054efa67,19,9,893,84.9,3,Bayern Munich,Paderborn 07
